city,name,adress,Google Plus-Code,longitude,latitude
Lisbon,Work'In Marquês - Centro de escritórios,"Av. António Augusto de Aguiar 24, 1050-016 Lisboa, Portugal","PVH2+M7 Lissabon, Portugal",3872914,-914926
Lisbon,Workup - Lisbon Cowork Centre & Virtual Offices,"R. Tomás da Fonseca 40A, 1600-275 Lisboa, Portugal","QR4M+55 Lissabon, Portugal",3875536,-916707
Riga,TechHub Riga,"Elizabetes iela 20, Centra rajons, Rīga, LV-1050, Lettland","W4XC+XJ Riga, Lettland",5694995,2412161
Riga,Mill Riga,"Tallinas iela 10, Centra rajons, Rīga, LV-1001, Lettland","X47M+PW Riga, Lettland",5696434,2413481
Riga,Workland Telegraph,"Audēju iela 15, Centra rajons, Rīga, LV-1050, Lettland","W4W7+R5 Riga, Lettland",5694708,2411300
Riga,Coworking Riga,"Artilērijas iela 3, Centra rajons, Rīga, LV-1001, Lettland","X46P+G5 Riga, Lettland",5696124,2413547
Riga,Techhub Riga,"Elizabetes iela 20, Centra rajons, Rīga, LV-1050, Lettland","W4XC+XJ Riga, Lettland",5694996,2412167
Riga,OraculeTang Space,"Doma laukums 2, Centra rajons, Rīga, LV-1050, Lettland","W4X3+PH Riga, Lettland",5694931,2410388
Riga,Double9 coworking,"Šarlotes iela 18a, Centra rajons, Rīga, LV-1001, Lettland","X48J+22 Riga, Lettland",5696509,2413011
Riga,DarbaVieta,"Rūpniecības iela 30, Ziemeļu rajons, Rīga, LV-1045, Lettland","X473+9J Riga, Lettland",5696341,2410390
Riga,croworking,"Tallinas iela 77, Latgales priekšpilsēta, Rīga, LV-1009, Lettland","X44W+WX Riga, Lettland",5695736,2414741
Riga,LU Student Business Inkubator Co-Working Space,"Aspazijas bulvāris 5-222, Centra rajons, Rīga, LV-1050, Lettland","W4X8+43 Riga, Lettland",5694779,2411510
Riga,"Regus - Riga, Terbatas","4th & 5th floors, Tērbatas iela 14, Rīga, LV-1011, Lettland","X43C+FH Riga, Lettland",5695367,2412150
Riga,"Regus - Riga, Esplanade","Dzirnavu iela 57a 2nd and 7th floor, Rīga, LV-1010, Lettland","X449+9C Riga, Lettland",5695589,2411854
Riga,Beauty Works coworking,"Matīsa iela 28, Centra rajons, Rīga, LV-1001, Lettland","X44M+JJ Riga, Lettland",5695654,2413409
Riga,Regus - Riga Opera,"Aspazijas bulvaris 20 2nd and 3rd floor, Rīga, LV-1050, Lettland","X426+2R Riga, Lettland",5694998,2411212
Riga,Magnēts Coworking,"Mazā Nometņu iela 31, Zemgales priekšpilsēta, Rīga, LV-1002, Lettland","W3P9+8M Riga, Lettland",5693581,2406924
Riga,Hamann Coworking,"Slokas iela 41A, Zemgales priekšpilsēta, Rīga, LV-1007, Lettland","X328+63 Riga, Lettland",5695055,2406517
Riga,Teikums,"Gustava Zemgala gat. 78, Vidzemes priekšpilsēta, Rīga, LV-1035, Lettland","X5G8+QF Riga, Lettland",5697692,2416626
Barcelona,La Vaca Coworking Barcelona,"Carrer de la Creu dels Molers, 19, 08004 Barcelona, Spanien","95F6+JQ Barcelona, Spanien",4137409,2161937
Barcelona,OneCoWork Catedral | Barcelona Coworking,"Av. de la Catedral, 6, 08002 Barcelona, Spanien","95MG+XP Barcelona, Spanien",4138499,2176744
Barcelona,"betahaus I - Coworking in Barcelona, Gràcia","Carrer de Vilafranca, 7, 08024 Barcelona, Spanien","C544+QP Barcelona, Spanien",4140696,2156778
Barcelona,Meet BCN - Coworking Space in Barcelona,"Rambla de Catalunya, 125, 3º 2ª, 08008 Barcelona, Spanien","95V5+W5 Barcelona, Spanien",4139482,2157991
Barcelona,Barcelona Reial Coworking,"Reial Barcelona Coworking, La Rambla, 42, 08002 Barcelona, Spanien","95HG+Q2 Barcelona, Spanien",4137942,2175059
Barcelona,OneCoWork Plaça Catalunya | Barcelona Coworking,"C/ d'Estruc, 9, 08002 Barcelona, Spanien","95PF+Q2 Barcelona, Spanien",4138687,2172532
Barcelona,MOB Bailén - Coworking in Barcelona,"C/ de Bailèn, 11, 08010 Barcelona, Spanien","95RG+MV Barcelona, Spanien",4139178,2177249
Barcelona,Cowork Rambla Catalunya - Coworking Barcelona,"Carrer Corsega, num. 284, 1 Pis, 08008 Barcelona, Spanien","95V4+RR Barcelona, Spanien",4139453,2157116
Barcelona,Sowo Coworking Barcelona,"C/ del Consell de Cent, 413, 415, Principal 2ª, 08009 Barcelona, Spanien","95WC+8M Barcelona, Spanien",4139584,2171729
Barcelona,Space Up Barcelona - Coworking & Centro de negocios,"C/ de Provença, 385, 6-2, 08025 Barcelona, Spanien","C52C+VG Barcelona, Spanien",4140222,2171284
Barcelona,CahootCoworking Barcelona,"C. de Floridablanca, 94, 08015 Barcelona, Spanien","95H5+HV Barcelona, Spanien",4137892,2159718
